SchoolName,Address,Grades
NOBEL,4127 W Hirsch St,K-8*

NOBLE CHTR - ACADEMY,17 N State,9

NOBLE CHTR - BAKER COLLEGE PREP,2710 E 89th St,9-10

NOBLE CHTR - BUTLER,821 E 103rd St,9-10

NOBLE CHTR - CHGO BULLS,2040 W Adams St,9-12*

NOBLE CHTR - COMER,7200 S Ingleside Ave,9-12*

NOBLE CHTR - DRW,931 S Homan Ave,9-11

NOBLE CHTR - GOLDER,1454 W Superior St,9-12

NOBLE CHTR - HANSBERRY,8748 S Aberdeen St,9-11

NOBLE CHTR - ITW DAVID SPEER,2456 N Mango Ave.,9

NOBLE CHTR - JOHNSON,6350 S Stewart Ave,9-12

NOBLE CHTR - MUCHIN,1 N State St,9-12

NOBLE CHTR - NOBLE,1010 N Noble St,9-12

NOBLE CHTR - PRITZKER,4131 W Cortland Ave,9-12

NOBLE CHTR - RAUNER,1337 W Ohio St,9-12

NOBLE CHTR - ROWE CLARK,3645 W Chicago Ave,9-12

NOBLE CHTR - UIC,1231 S Damen Ave,9-12*

NORTH LAWNDALE CHTR - COLLINS,1313 S Sacramento Dr,9-12

NORTH RIVER,4416 N Troy St,PK-8

NORTH-GRAND HS,4338 W Wabansia Ave,9-12*

NORTHSIDE LEARNING HS,3730 W Bryn Mawr Ave,9-12

NORTHSIDE PREP HS,5501 N Kedzie Ave,9-12

NORTHWEST,5252 W Palmer St,6-8*

NORWOOD PARK,5900 N Nina Ave,K-8*

NTH LAWNDALE CHTR - CHRISTIANA,1615 S Christiana Ave.,9-12

OGDEN ES,24 W Walton St,K-8*

OGDEN HS,1250 W Erie St,6-12

OGLESBY,7646 S Green St,K-8*

OMBUDSMAN - NORTHWEST HS,7500 N Harlem Ave,9-12

OMBUDSMAN - SOUTH HS,6057 S Western Ave,9

OMBUDSMAN - WEST HS,2401 W. Congress Pkwy,9-12

ONAHAN,6634 W Raven St,K-8*

ORIOLE PARK,5424 N Oketo Ave,K-8*

OROZCO,1940 W 18th St,6-8*

ORR HS,730 N Pulaski Rd,9-12*

ORTIZ DE DOMINGUEZ,3000 S Lawndale Ave,K-2*

OTIS,525 N Armour St,K-8*

OWEN,8247 S Christiana Ave,K-8

OWENS,12302 S State St,K-8*

O`KEEFFE,6940 S Merrill Ave,K-8*

O`TOOLE,6550 S Seeley Ave,K-8*

PALMER,5051 N Kenneth Ave,K-8*

PARK MANOR,7037 S Rhodes Ave,K-8*

PARKER,6800 S Stewart Ave,K-8*

PARKSIDE,6938 S East End Ave,K-8*

PASTEUR,5825 S Kostner Ave,K-8*

PATHWAYS IN EDUCATION - AVONDALE HS,3100 W Belmont Ave,9-12

PATHWAYS IN EDUCATION - BRIGHTON PARK HS,3124 W 47th Street,9

PATHWAYS IN EDUCATION - LINCOLN SQ HS,4820 N Western Avenue,9

PATHWAYS IN EDUCATION HS,3270 W 87th St,9-12

PAYTON HS,1034 N Wells St,9-12

PEACE AND EDUCATION HS,4946 S Paulina St,10-12

PECK,3826 W 58th St,K-8*

PEIRCE,1423 W Bryn Mawr Ave,K-8*

PENN,1616 S Avers Ave,K-8*

PEREZ,1241 W 19th St,K-8*

PERSHING,3200 S Calumet Ave,K-8*

PERSPECTIVES CHTR - IIT,3663 S Wabash Ave,6-12

PERSPECTIVES CHTR - JOSLIN,1930 S Archer Ave,6-12

PERSPECTIVES CHTR - LEADERSHIP ACADEMY,8131 S May St,6-12

PERSPECTIVES CHTR - TECH HS,8131 S May St,9-12

PETERSON,5510 N Christiana Ave,K-8*

PHILLIPS HS,244 E Pershing Rd,9-12*

PHILLIPS HS,244 E Pershing Rd,9-11*

PHOENIX MILITARY HS,145 S Campbell Ave,9-12

PICCOLO,1040 N Keeler Ave,K-8*

PICKARD,2301 W 21st Pl,K-8*

PILSEN,1420 W 17th St,K-8*

PIRIE,650 E 85th St,K-6*

PLAMONDON,2642 W 15th Pl,K-8*

PLATO CONTR,5545 W Harrison St,K-8

POE,10538 S Langley Ave,K-6

POLARIS CHTR,620 N Sawyer Ave,K-8

PORTAGE PARK,5330 W Berteau Ave,K-8*

POWELL,7511 S South Shore Dr,K-8*

PRESCOTT,1632 W Wrightwood Ave,K-8*

PRIETO,2231 N Central Ave,K-8*

PRITZKER,2009 W Schiller St,K-8*

PROLOGUE - JOHNSTON CHTR HS,1551 W 95th St,9-12

