Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct
Network 7,609826,Castellanos,CASTELLANOS,586,1,0.2,29,4.9,0,0,1,0.2,555,94.7,0,0,0,0,0,0,0,0
Charter,400020,Catalyst Chrt - Howland,CATALYST CHRT - HOWLAND,472,0,0,422,89.4,0,0,1,0.2,11,2.3,0,0,0,0,0,0,38,8.1
Charter,400115,Catalyst Chrt - Maria,CATALYST CHRT - MARIA,832,8,1,380,45.7,0,0,3,0.4,378,45.4,5,0.6,0,0,0,0,58,7
Charter,400021,Catalyst Chtr -Circle Rock,CATALYST CHTR -CIRCLE ROCK,521,0,0,438,84.1,0,0,1,0.2,1,0.2,2,0.4,0,0,0,0,79,15.2
Network 5,610251,Cather,CATHER,451,0,0,442,98,0,0,0,0,9,2,0,0,0,0,0,0,0,0
AUSL,609851,Chalmers,CHALMERS,406,1,0.2,386,95.1,0,0,0,0,15,3.7,4,1,0,0,0,0,0,0
Network 2,609852,Chappell,CHAPPELL,551,73,13.2,28,5.1,0,0,7,1.3,343,62.3,21,3.8,78,14.2,0,0,1,0.2
Network 4,609853,Chase,CHASE,498,14,2.8,11,2.2,0,0,1,0.2,467,93.8,2,0.4,1,0.2,0,0,2,0.4
Network 8,610148,Chavez,CHAVEZ,947,9,1,34,3.6,0,0,4,0.4,899,94.9,1,0.1,0,0,0,0,0,0
Charter,400161,Chgo Collegiate Chtr HS,CHGO COLLEGIATE CHTR HS,115,0,0,111,96.5,0,0,0,0,3,2.6,0,0,0,0,0,0,1,0.9
Charter,400035,Chgo Math/Sci Chtr,CHGO MATH/SCI CHTR,606,24,4,164,27.1,1,0.2,4,0.7,340,56.1,10,1.7,62,10.2,1,0.2,0,0
AUSL,610248,Chicago Acad,CHICAGO ACAD,600,152,25.3,28,4.7,0,0,2,0.3,387,64.5,12,2,16,2.7,3,0.5,0,0
AUSL,610340,Chicago Acad HS,CHICAGO ACAD HS,518,112,21.6,89,17.2,0,0,3,0.6,284,54.8,7,1.4,22,4.2,1,0.2,0,0
Contract,400091,Chicago Adv Tech Acad HS,CHICAGO ADV TECH ACAD HS,387,10,2.6,271,70,0,0,2,0.5,96,24.8,0,0,7,1.8,0,0,1,0.3
Network 10,609753,Chicago Agr Sci HS,CHICAGO AGR SCI HS,651,199,30.6,275,42.2,0,0,2,0.3,152,23.3,17,2.6,3,0.5,0,0,3,0.5
Contract,400022,Chicago Arts HS,CHICAGO ARTS HS,575,69,12,306,53.2,2,0.3,1,0.2,135,23.5,19,3.3,7,1.2,1,0.2,35,6.1
Contract,400147,Chicago Excel Acad,CHICAGO EXCEL ACAD,375,3,0.8,360,96,0,0,0,0,11,2.9,0,0,0,0,1,0.3,0,0
Military,609754,Chicago Mil Acad HS,CHICAGO MIL ACAD HS,405,7,1.7,312,77,0,0,1,0.2,78,19.3,6,1.5,0,0,0,0,1,0.2
