SchoolID,SchoolName,FullName,CPSUnit
400148,Instituto Justice Chtr Acad,Instituto Justice and Leadership Acad Charter HS,9065
610078,Inter-american,Inter-American Elementary Magnet School,4890
400162,Intrinsic Schools,Intrinsic Charter HS,9619
610121,Irving,Washington Irving Elementary School,5350
610060,"Jackson, A",Andrew Jackson Elementary Language Academy,4690
610369,"Jackson, M",Mahalia Jackson Elementary School,8090
610010,Jahn,Friedrich Ludwig Jahn Elementary School,4170
610011,Jamieson,Minnie Mars Jamieson Elementary School,4180
609783,Jefferson Alt HS,Nancy B Jefferson Alternative High School,2120
610012,Jenner,Edward Jenner Elementary Academy of the Arts,4200
610271,Jensen,Jensen Elementary Scholastic Academy,6920
610274,Johnson,James Weldon Johnson Elementary School,6940
609678,Jones HS,William Jones College Preparatory High School,1060
609805,Joplin,Scott Joplin Elementary School,2330
609865,Jordan,Jordan Elementary Community School,2870
609764,Juarez HS,Benito Juarez Community Academy High School,1890
609762,Julian HS,Percy L Julian High School,1870
610015,Jungman,Joseph Jungman Elementary School,4230
609920,Kanoon,Gerald Delgado Kanoon Elementary Magnet School,3370
610084,Keller,Annie Keller Elementary Gifted Magnet School,4960
609925,Kellman,Joseph Kellman Corporate Community ES,3410
610016,Kellogg,Kate S Kellogg Elementary School,4240
609715,Kelly HS,Thomas Kelly High School,1400
609716,Kelvyn Park HS,Kelvyn Park High School,1410
609718,Kennedy HS,John F Kennedy High School,1420
609746,Kenwood HS,Kenwood Academy High School,1710
610019,Kershaw,Joshua D Kershaw Elementary School,4270
610022,Kilmer,Joyce Kilmer Elementary School,4300
609751,King HS,Dr  Martin Luther King  Jr  College Prep HS,1760
610026,Kinzie,John H Kinzie Elementary School,4330
610027,Kipling,Rudyard Kipling Elementary School,4350
400044,Kipp Ascend Chtr Campus,KIPP Ascend Academy Charter Elementary School,7810
400163,Kipp Bloom Chtr Campus,KIPP Charter Bloom,9627
400146,Kipp Create,KIPP Charter Create,9605
610030,Kozminski,Charles Kozminski Elementary Community Academy,4390
609719,Lake View HS,Lake View High School,1430
609720,Lane HS,Albert G Lane Technical High School,1440
609869,Langford,Anna R. Langford Community Academy,2900
609993,Lara,Agustin Lara Elementary Academy,3980
610033,Lasalle,LaSalle Elementary Language Academy,4420
610520,Lasalle Ii,LaSalle II Magnet Elementary School,8040
610208,Lavizzo,Mildred I Lavizzo Elementary School,6260
610034,Lawndale,Lawndale Elementary Community Academy,4430
400107,Learn Chrt - So Chicago,LEARN  Charter School-South Chicago Campus,8029
400151,Learn Chtr - 7,Learn Charter 7 ES,9608
400046,Learn Chtr - Butler,LEARN Charter ES - Romano Butler Campus,6770
400047,Learn Chtr - Campbell,LEARN Charter ES - Charles and Dorothy Campbell,8072
400048,Learn Chtr - Excel,LEARN Charter ES - Excel,6775
400111,Learn Chtr - Hunter Perkins,LEARN Charter School - Hunter Perkins,8677
400165,Learn Chtr - Middle,LEARN Charter - Middle School Campus,9629
610291,Lee,Richard Henry Lee Elementary School,7170
400049,Legacy Chtr Campus,Legacy Charter Elementary School,5870
400119,Legal Prep Chtr - Academy,Legal Prep Charter Academy,9036
610305,Leland,George Leland Elementary School,7320
610298,Lenart,Lenart Elementary Regional Gifted Center,7240
610036,Lewis,Leslie Lewis Elementary School,4450
610037,Libby,Arthur A Libby Elementary School,4470
610038,Lincoln,Abraham Lincoln Elementary School,4480
609738,Lincoln Park HS,Lincoln Park High School,1620
610391,Lindblom HS,Robert Lindblom Math & Science Academy HS,7110
400137,Little Black Pearl,Little Black Pearl Art and Design Academy,9054
609834,Little Village,Little Village Elementary School,2590
610040,Lloyd,Henry D Lloyd Elementary School,4500
400011,"Locke, A Chtr",Alain Locke Charter Elementary Academy,4730
610041,"Locke, J",Josephine C Locke Elementary School,4510
610325,Logandale,Logandale Middle School,7560
610541,Lorca,Federico Garcia Lorca Elementary School,8330
610043,Lovett,Joseph Lovett Elementary School,4530
610044,Lowell,James Russell Lowell Elementary School,4540
610029,Lozano,Rodolfo Lozano Bilingual & International Ctr ES,4380
,Lozano Leadership Academy - Mastery Campus,Instituto Charter Rudy Lozano - RLLAM,9628
610046,Lyon,Mary Lyon Elementary School,4560
610215,Madero,Francisco I Madero Middle School,6310
610047,Madison,James Madison Elementary School,4570
610574,"Mandela, W",Winnie Mandela High School,9639
610048,Manierre,George Manierre Elementary School,4580
609722,Manley HS,Manley Career Academy High School,1460
610052,Mann,Horace Mann Elementary School,4610
610502,Marine Military HS,Marine Military Math and Science Academy,1085
610053,Marquette,Marquette Elementary School,4620
610054,Marsh,John L Marsh Elementary School,4630
609723,Marshall HS,John Marshall Metropolitan High School,1470
610321,"Marshall, T",Thurgood Marshall Middle School,7520
610056,Mason,Roswell B Mason Elementary School,4650
609724,Mather HS,Stephen T Mather High School,1480
610059,Mayer,Oscar F Mayer Elementary School,4680
610290,Mays,Benjamin E Mays Elementary Academy,7150
609968,Mcauliffe,Sharon Christa McAuliffe Elementary School,3770
610062,Mcclellan,George B McClellan Elementary School,4710
610063,Mccormick,Cyrus H McCormick Elementary School,4720
610269,Mccutcheon,John T McCutcheon Elementary School,6910
610066,Mcdade,James E McDade Elementary Classical School,4750
610312,Mcdowell,Mary E McDowell Elementary School,7390
610067,Mckay,Francis M McKay Elementary School,4760
610282,Mcnair,Ronald E McNair Elementary School,7040
610070,Mcpherson,James B McPherson Elementary School,4800
610293,Melody,Genevieve Melody Elementary School,7190
609902,Metcalfe,Ralph H Metcalfe Elementary Community Academy,3190
610171,Mireles,Arnold Mireles Elementary Academy,5880
610073,Mitchell,Ellen Mitchell Elementary School,4840
610276,Mollison,Irvin C Mollison Elementary School,6950
610074,Monroe,James Monroe Elementary School,4850
610075,Montefiore,Moses Montefiore Special Elementary School,4860
400116,Montessori Chtr - Englewood,The Montessori School of Englewood Charter,9033
610076,Moos,Bernhard Moos Elementary School,4870
609725,Morgan Park HS,Morgan Park High School,1490
610077,Morrill,Donald Morrill Math & Science Elementary School,4880
610257,Morton,Morton School of Excellence,6800
610082,Mount Greenwood,Mount Greenwood Elementary School,4940
610086,Mount Vernon,Mount Vernon Elementary School,4980
610088,Mozart,Wolfgang A Mozart Elementary School,5000
610385,Multicultural Acad Scholarship,Multicultural Academy of Scholarship,7630
610089,Murphy,John B Murphy Elementary School,5020
610090,Murray,Phillip Murray Elementary Language Academy,5030
400050,Namaste Chtr Campus,Namaste Charter Elementary School,7920
610092,Nash,Henry H Nash Elementary School,5050
610231,National Teachers,National Teachers Elementary Academy,6480
610093,Neil,Jane A Neil Elementary School,5060
610094,Nettelhorst,Louis Nettelhorst Elementary School,5070
610284,New Field,New Field Elementary School,7060
610193,New Sullivan,William K New Sullivan Elementary School,6100
610095,Newberry,Walter L Newberry Math & Science Academy ES,5080
609793,Nicholson Tech Acad,Nicholson Technology Academy,2200
610096,Nightingale,Florence Nightingale Elementary School,5090
610097,Nixon,William P Nixon Elementary School,5100
400045,Nkrumah Contr,Kwame Nkrumah Academy Elementary School,2055
610098,Nobel,Alfred Nobel Elementary School,5110
400157,Noble Street Chtr - Baker College Prep,Noble Street Charter Orange HS,9614
400097,Noble Street Chtr - Chgo Bulls,Noble Street Charter - Chicago Bulls College,8078
400052,Noble Street Chtr - Comer,Noble Street Charter - Gary Comer College Prep,1935
400053,Noble Street Chtr - Golder,Noble Street Charter - Golder College Prep,1934
400106,Noble Street Chtr - Johnson,Noble Street Charter School Ã¢â¬â Johnson HS,8028
400098,Noble Street Chtr - Muchin,Noble Street Charter - Muchin College Prep,8079
400051,Noble Street Chtr - Noble,Noble Street Charter - Noble Street College Prep,1930
400054,Noble Street Chtr - Pritzker,Noble Street Charter - Pritzker College Prep,1931
400156,Noble Street Chtr - Pullman College Prep,Noble Street Charter  Crimson HS,9613
400118,Noble Street Chtr - Purple,Noble Street Charter School - Purple,9035
400055,Noble Street Chtr - Rauner,Noble Street Charter - Rauner College Prep,1932
400056,Noble Street Chtr - Rowe Clark,Noble Street Charter - Rowe-Clark Math & Sci Acad,1933
400117,Noble Street Chtr - Silver HS,Noble Street Charter School - Silver,9034
400057,Noble Street Chtr - Uic,Noble Street Charter - UIC College Prep,1936
610354,North River,North River Elementary School,7890
609691,North-grand HS,North-Grand High School,1140
609744,Northside Learning HS,Northside Learning Center High School,1690
609749,Northside Prep HS,Northside College Preparatory High School,1740
610051,Northwest,Northwest Middle School,4600
610099,Norwood Park,Norwood Park Elementary School,5120
400058,Nth Lawndale Chtr - Christiana,North Lawndale College Prep Charter - Christiana,1105
400059,Nth Lawndale Chtr - Collins,North Lawndale College Prep Charter - Collins,1106
610103,O'keeffe,Isabelle C O'Keeffe Elementary School,5180
610108,O'toole,Luke O'Toole Elementary School,5230
610101,Ogden,William B Ogden Elementary School,5150
610529,Ogden HS,Ogden International High School,8083
610102,Oglesby,Richard J Oglesby Elementary School,5170
610569,Ombudsman 1 HS,Ombudsman #1,9634
610570,Ombudsman 2 HS,Ombudsman #2,9635
610571,Ombudsman 3 HS,Ombudsman #3,9636
610104,Onahan,William J Onahan Elementary School,5190
610105,Oriole Park,Oriole Park Elementary School,5200
610329,Orozco,Orozco Fine Arts & Sciences Elementary School,7610
610389,Orr HS,Orr Academy High School,1830
609950,Ortiz De Dominguez,Josefa Ortiz De Dominguez Elementary School,3630
610107,Otis,James Otis Elementary School,5220
610109,Owen,William Bishop Owen Scholastic Academy ES,5240
610111,Palmer,John Palmer Elementary School,5260
610115,Park Manor,Park Manor Elementary School,5290
610112,Parker,Francis W Parker Elementary Community Academy,5270
610116,Parkside,Parkside Elementary Community Academy,5300
610117,Pasteur,Louis Pasteur Elementary School,5310
610557,Pathways Education HS,Pathways in Education,8687
610568,Pathways Education HS - Avondale,Pathways in Education Avondale,9633
609680,Payton HS,Walter Payton College Preparatory High School,1090
610386,Peace & Education HS,Peace & Education Coalition High School,1123
610120,Peck,Ferdinand Peck Elementary School,5340
610122,Peirce,Helen Peirce International Studies ES,5360
610123,Penn,William Penn Elementary School,5370
609872,Perez,Manuel Perez Elementary School,2930
610126,Pershing,John J Pershing Elementary Humanities Magnet,5400
400062,Perspectives Chtr - Calumet Tech,Perspectives Charter - Calumet Technology,1962
400066,Perspectives Chtr - Iit,Perspectives Charter - IIT Math & Science Academy,1964
400064,Perspectives Chtr - Joslin,Perspectives Charter - Rodney D Joslin,1960
400061,Perspectives Chtr - Leadership Academy,Perspectives Charter Leadership Academy HS,1961
610127,Peterson,Mary Gage Peterson Elementary School,5410
609727,Phillips HS,Wendell Phillips Academy High School,1510
610304,Phoenix Military HS,Phoenix Military Academy High School,7310
610106,Piccolo,Brian Piccolo Elementary Specialty School,5210
610129,Pickard,Josiah Pickard Elementary School,5430
610013,Pilsen,Pilsen Elementary Community Academy,4210
610130,Pirie,John T Pirie Fine Arts & Academic Center ES,5440
610131,Plamondon,Ambrose Plamondon Elementary School,5450
400068,Plato Contr,Plato Learning Academy Elementary School,2045
610132,Poe,Edgar Allan Poe Elementary Classical School,5460
400069,Polaris Chtr Campus,Polaris Charter Academy Elementary School,4150
610135,Portage Park,Portage Park Elementary School,5490
610281,Powell,Adam Clayton Powell Paideia Community Academy ES,7010
610136,Prescott,William H Prescott Elementary School,5500
610533,Prieto,Dr Jorge Prieto Math and Science,8023
610229,Pritzker,A.N. Pritzker School,6460
400070,Prologue HS,Prologue Early College High School,1135
