SchoolID,SchoolName,FullName,CPSUnit,Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct,lat,lng
400116,Montessori Chtr - Englewood,The Montessori School of Englewood Charter,9033,Charter,400116,Montessori Englewood Chtr,MONTESSORI ENGLEWOOD CHTR,205,0,0,170,82.9,0,0,0,0,8,3.9,2,1,0,0,0,0,25,12.2,41.7741847,-87.67533379999999
610076,Moos,Bernhard Moos Elementary School,4870,Network 5,610076,Moos,MOOS,500,10,2,72,14.4,0,0,2,0.4,410,82,1,0.2,5,1,0,0,0,0,41.9128678,-87.6964062
609725,Morgan Park HS,Morgan Park High School,1490,OS4,609725,Morgan Park HS,MORGAN PARK HS,"1,431",18,1.3,"1,376",96.2,0,0,1,0.1,21,1.5,13,0.9,1,0.1,1,0.1,0,0,41.6922179,-87.66532769999999
610077,Morrill,Donald Morrill Math & Science Elementary School,4880,Network 10,610077,Morrill,MORRILL,816,4,0.5,357,43.8,0,0,0,0,448,54.9,6,0.7,0,0,0,0,1,0.1,41.783676,-87.6880432
610257,Morton,Morton School of Excellence,6800,AUSL,610257,Morton,MORTON,412,1,0.2,389,94.4,0,0,1,0.2,21,5.1,0,0,0,0,0,0,0,0,41.8890389,-87.704657
610082,Mount Greenwood,Mount Greenwood Elementary School,4940,Network 10,610082,Mt Greenwood,MT GREENWOOD,999,819,82,15,1.5,0,0,4,0.4,137,13.7,7,0.7,8,0.8,8,0.8,1,0.1,41.69599059999999,-87.70537759999999
610086,Mount Vernon,Mount Vernon Elementary School,4980,Network 13,610086,Mt Vernon,MT VERNON,300,0,0,299,99.7,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,41.7023021,-87.648142
610088,Mozart,Wolfgang A Mozart Elementary School,5000,Network 4,610088,Mozart,MOZART,836,10,1.2,41,4.9,0,0,0,0,760,90.9,1,0.1,0,0,0,0,24,2.9,41.9213743,-87.7224669
610385,Multicultural Acad Scholarship,Multicultural Academy of Scholarship,7630,Network 7,610385,Multicultural Arts HS,MULTICULTURAL ARTS HS,280,1,0.4,39,13.9,0,0,3,1.1,236,84.3,0,0,0,0,0,0,1,0.4,41.8351441,-87.7351437
610089,Murphy,John B Murphy Elementary School,5020,Network 1,610089,Murphy,MURPHY,606,63,10.4,9,1.5,0,0,1,0.2,493,81.4,23,3.8,12,2,1,0.2,4,0.7,41.9501479,-87.7166177
610090,Murray,Phillip Murray Elementary Language Academy,5030,Network 9,610090,Murray Magnet,MURRAY MAGNET,535,32,6,433,80.9,0,0,1,0.2,27,5,26,4.9,16,3,0,0,0,0,41.7980018,-87.59342939999999
400050,Namaste Chtr Campus,Namaste Charter Elementary School,7920,Charter,400050,Namaste Charter,NAMASTE CHARTER,483,44,9.1,20,4.1,0,0,1,0.2,410,84.9,2,0.4,5,1,1,0.2,0,0,41.825728,-87.6676207
610092,Nash,Henry H Nash Elementary School,5050,Network 3,610092,Nash,NASH,403,1,0.2,378,93.8,0,0,0,0,17,4.2,5,1.2,0,0,0,0,2,0.5,41.8920702,-87.7472655
610231,National Teachers,National Teachers Elementary Academy,6480,AUSL,610231,Natl Teachers Acad,NATL TEACHERS ACAD,585,13,2.2,535,91.5,0,0,0,0,20,3.4,7,1.2,9,1.5,0,0,1,0.2,41.8522221,-87.6289518
610093,Neil,Jane A Neil Elementary School,5060,Network 12,610093,Neil,NEIL,346,0,0,336,97.1,0,0,1,0.3,7,2,1,0.3,0,0,0,0,1,0.3,41.7390451,-87.62103789999999
