Unit,FY00_Name,FY00Total,FY00_WhitePct,Fy00_AfrianAmericanPct,FY00_AsianPct,FY00_HispanicPct
4270,Kershaw,429,0,100,0,0
4280,Key,670,0,99.9,0,0.1
4300,Kilmer,1305,9.3,29.6,8.7,52.3
4310,King,414,0.7,66.4,0,32.9
1760,King HS,332,0,100,0,0
4330,Kinzie,617,56.9,14.1,0.3,28.7
4350,Kipling,377,0,100,0,0
4360,Kohn,779,0.3,99.6,0,0.1
4390,Kozminski Com Acad,495,0,99.8,0,0.2
4400,LaFayette,930,0.1,26,0.1,73.8
1430,Lakeview HS,1068,13.7,19.2,6.6,59.9
1440,Lane Tech HS,4204,28.2,14.5,17.5,39.2
3980,Lara Acad,606,3.3,0.8,0,95.9
1910,Las Casas Occ. HS,133,6.8,89.5,0,3.8
4420,LaSalle Lang Acad,575,34.6,30.1,13.7,20.3
6750,Lathrop,468,0,100,0,0
4430,Lawndale Com Acad,773,0,100,0,0
4550,Lawrence,689,0,99.7,0,0.3
7170,Lee,686,38.2,1.6,0.7,59.5
7320,Leland,256,0,98.8,0,1.2
4440,LeMoyne,500,11.2,37.2,4.2,47.2
7240,Lenart,240,38.3,38.3,10.4,12.1
4450,Lewis,1119,0.2,93.9,0,5.9
4470,Libby,843,0.4,92.5,0,7.1
4480,Lincoln,571,61.6,25.2,6,7
1620,Lincoln Park HS,1724,31.1,39.9,11.6,17
1122,Lincolns Challenge,163,4.3,75.5,0.6,18.4
1450,Lindblom Tech HS,739,0.4,99.1,0.1,0.4
4490,Linne,862,9.3,2.1,1.3,86.8
2590,Little Village,769,0.3,0,0,99.7
4500,Lloyd,813,3.1,4.1,0.1,92.6
4510,Locke,1025,31.4,5.2,1.9,61.4
4730,Locke Charter,132,0,100,0,0
7560,Logandale Middle,480,4.4,5.6,1.3,88.8
4530,Lovett,602,0.5,90.7,0.7,8.1
4540,Lowell,873,0.7,24.1,0,75.3
4380,Lozano Bilingual,718,3.8,2.2,0.3,93.7
4560,Lyon,1599,19.7,1.6,3.4,75.3
6310,Madero Middle,329,0,0,0,100
4570,Madison,653,0,100,0,0
4580,Manierre,815,0,97.1,0,2.9
1460,Manley Car Acad,646,0,100,0,0
4610,Mann,1053,0,99.8,0,0.2
4660,Maquette East,876,0.7,65.1,0.1,34.1
6590,Marconi Comm Acad,540,0,99.8,0,0.2
4620,Marquette West,2011,3.6,49.2,0.2,46.9
4630,Marsh,540,4.1,3.5,0,92.4
1470,Marshall Magnet HS,1164,0,100,0,0
7520,"Marshall, T. Middle",666,14.3,3.6,4.8,76.3
4650,Mason,1490,0.1,94,0,6
1480,Mather HS,1855,34.7,7.7,27.3,30.1
4670,May Comm Acad,907,0.2,99.8,0,0
4680,Mayer,730,14.8,47.1,1.1,36.4
4700,Mayo,497,0.4,99.6,0,0
7150,Mays Acad,266,0,98.1,0,1.9
3770,McAuliffe,1007,1.1,7.1,0.3,91.1
4710,McClellan,370,31.1,3.5,6.8,57.6
6820,McCorkle,360,0,100,0,0
4720,McCormick,985,0.3,0.3,0,99.4
4740,McCosh,1046,0.1,99.7,0,0.2
6910,McCutcheon,563,1.6,52.2,30.7,15.3
4750,McDade Classical,187,1.1,97.3,0,1.6
7390,McDowell,204,0.5,99.5,0,0
4760,McKay,1501,0.5,94.6,0,4.9
7040,McNair Acad,518,0,100,0,0
4800,McPherson,874,17.4,4.9,4.6,72.2
4810,Medill Primary,353,0,100,0,0
7190,Melody,691,0.1,99.7,0,0.1
3190,Metcalfe Comm Acad,1012,0,99.7,0,0.3
5880,Mireles,1594,0.4,43.5,0.1,55.3
4840,Mitchell,466,12.2,2.1,0,85.2
6950,Mollison,514,0,100,0,0
4850,Monroe,1303,7.8,3.3,0.3,88.6
4860,Montefiore Special,127,1.6,89,0,9.4
4870,Moos,856,2.7,10.3,0.4,86.7
4830,Morgan,587,0.2,99.5,0,0.3
1490,Morgan Park HS,2083,13.3,79.2,1.2,6.1
4880,Morrill,1078,0.8,55,0,44.2
4900,Morse,611,0,98.4,0,1.6
6800,Morton Car Acad,550,1.1,84.4,0,14.5
5000,Mozart,1022,2.2,7.3,0.2,90.3
4940,Mt. Greenwood,598,73.2,20.7,0.2,5.9
4980,Mt. Vernon,501,0,99.4,0,0.6
6640,Munoz-Marin Prim.,308,0,29.9,0,70.1
5020,Murphy,614,21.8,4.1,4.4,68.9
5030,Murray,345,22.9,69.9,3.8,2.6
5050,Nash,1042,0,99.9,0,0.1
1050,Near North Career HS,270,0.4,71.5,0,28.1
4970,Near North Spl Ed,97,6.2,67,0,25.8
5060,Neil,369,1.9,93.5,0,4.3
5070,Nettelhorst,562,15.7,35.1,5.2,43.6
5080,Newberry,567,25.6,40.9,10.8,22.2
4050,Nia,121,0,99.2,0,0.8
2200,Nicholson,707,0,100,0,0
5090,Nightingale,1323,2.6,3.4,0.2,93.7
5100,Nixon,1109,2,1.1,0.4,96.6
3060,No. Kenwood Charter,156,1.3,98.7,0,0
5110,Nobel,988,1.7,18.3,0,80
1930,Noble St. Charter,126,7.1,8.7,0.8,83.3
1105,North Lawndale Charter,158,0,100,0,0
1740,Northside College Prep,507,48.9,5.5,24.1,20.7
1690,Northside L.C.,236,19.1,35.6,5.5,39.8
4600,Northwest Middle,715,10.6,3.1,1.1,85
5120,Norwood Park,311,77.2,6.1,2.3,14.1
5150,Ogden,528,40.3,38.8,8,12.9
5170,Oglesby,799,0,100,0,0
5180,O'Keeffe,853,0,100,0,0
1180,Olive APC,211,4.3,58.3,0,37.4
5190,Onahan,490,70,6.7,4.1,18.4
